Organization,Phone,Email,Website,Address,Hours,Serves
Pendleton Place - Youth Resource Center,(864) 467-3650,outreach@pendletonplace.org,pendletonplace.org,,,"Man; Woman; Couple; Veteran; Senior; Domestic Violence; Family (2 Adults + Children); Family (Father + Children); Family (Mother + Children); Youth 18-24 Without Parent/Guardian; Transgender"
Overcomers Center for Men - Miracle Hill Ministries,(864) 631-0088,receptionist@miraclehill.org,miraclehill.org/shelters/overcomers-center-for-men/,,,"Man; Veteran"
North Greenville Food Crisis Ministry,(864) 834-7342,ngfcministry@gmail.com,,,,"Man; Youth 18-24 Without Parent/Guardian; Senior"
New Horizon Family Health Services Inc.,(864) 729-8330,,newhorizonfhs.org,"975 W. Faris Rd., Greenville, SC 29605 (+ Greer, Travelers Rest, Dental locations)",,"Man; Woman; Couple; Veteran; Senior; Domestic Violence; AIDS/HIV; Non-Binary; Substance Use; LGBTQ+; Family (2 Adults + Children); Family (Father + Children); Family (Mother + Children); Family (Multigenerational Households); Re-entry/Previously Incarcerated; Youth 18-24 Without Parent/Guardian; Spanish Speaking; Transgender; Serves Everyone"
NAMI Greenville,(864) 331-3300,info@namigreenvillesc.org,namigreenvillesc.org,,,"Man; Woman; Couple; Veteran; Senior; Domestic Violence; No Photo ID; AIDS/HIV; Non-Binary; Substance Use; LGBTQ+; Family (2 Adults + Children); Family (Father + Children); Family (Mother + Children); Family (Multigenerational Households); Re-entry/Previously Incarcerated; Youth 18-24 Without Parent/Guardian; Transgender; Serves Everyone"
Mother Teresa House,(864) 412-7101,,,,"Tue & Thu 10am-2pm","Man; Woman; Couple; Veteran; Senior; Domestic Violence; No Photo ID; AIDS/HIV; Non-Binary; Substance Use; LGBTQ+; Family (2 Adults + Children); Family (Father + Children); Family (Mother + Children); Family (Multigenerational Households); Re-entry/Previously Incarcerated; Youth 18-24 Without Parent/Guardian; Transgender; Serves Everyone"
Mill Village Ministries - Village Wrench,(864) 248-6243,vw@millcommunity.org,villagewrench.org,"1186 Pendleton St., Greenville, SC 29611",,"Man; Woman; Couple; Veteran; Senior; Domestic Violence; Family (2 Adults + Children); Family (Father + Children); Family (Mother + Children); Family (Multigenerational Households); Re-entry/Previously Incarcerated; Transgender"
Mental Health America,(864) 467-3344,,mhagc.org,,"Mon-Fri 8:30am-4pm","Man; Woman; Couple; Veteran; Senior; Domestic Violence; No Photo ID; AIDS/HIV; Non-Binary; Substance Use; LGBTQ+; Family (2 Adults + Children); Family (Father + Children); Family (Mother + Children); Family (Multigenerational Households); Re-entry/Previously Incarcerated; Spanish Speaking; Youth 18-24 Without Parent/Guardian; Transgender"
LiveWell Greenville Food Resource Guide,(864) 365-6357,sfrantz@livewellgreenville.org,livewellgreenville.org/greenville-county-food-resources/,,,"Man; Woman; Couple; Veteran; Senior; Domestic Violence; No Photo ID; AIDS/HIV; Non-Binary; Substance Use; LGBTQ+; Spanish Speaking; Family (2 Adults + Children); Family (Father + Children); Family (Mother + Children); Family (Multigenerational Households); Re-entry/Previously Incarcerated; Youth 18-24 Without Parent/Guardian; Transgender; Serves Everyone"
Lifeline Children's Services,(205) 967-0811,andrea.looney@lifelinechild.org,planmyadoption.org,,,"Man; Woman; Couple; Domestic Violence; Family (2 Adults + Children); Family (Father + Children); Family (Mother + Children); Youth 18-24 Without Parent/Guardian; Transgender"
Jasmine Road,(864) 546-5077; (864) 325-6752,info@jasmineroad.org; mandy@jasmineroad.org,jasmineroad.org,,,"Woman; Substance Use"
Hispanic Alliance,(864) 386-0814,cesar@hispanicalliancesc.com,hispanicalliancesc.com,,,"Man; Woman; Couple; Veteran; Senior; Domestic Violence; Family (2 Adults + Children); Family (Father + Children); Family (Mother + Children); Family (Multigenerational Households); No Photo ID; Re-entry/Previously Incarcerated; Youth 18-24 Without Parent/Guardian; Spanish Speaking; Transgender"
Harvest Hope Food Bank,,,,"2818 White Horse Rd., Greenville, SC 29611","Mon, Wed & Fri 9am-1pm","Family (Mother + Children); Family (Father + Children); Family (2 Adults + Children); Serves Everyone"
Habitat for Humanity of Greenville County,(864) 370-4787,gpeay@habitatgreenville.org,habitatgreenville.org,"50 Grand Ave., Greenville, SC 29607",,"Man; Woman; Couple; Veteran; Senior; Domestic Violence; Family (2 Adults + Children); Family (Father + Children); Family (Mother + Children); Family (Multigenerational Households); Re-entry/Previously Incarcerated; Transgender"
Greer STEP,(864) 540-4681,,,,,"Man; Woman; Couple; Veteran; Senior; Domestic Violence; No Photo ID; AIDS/HIV; Non-Binary; Substance Use; LGBTQ+; Family (2 Adults + Children); Family (Father + Children); Family (Mother + Children); Family (Multigenerational Households); Re-entry/Previously Incarcerated; Youth 18-24 Without Parent/Guardian; Transgender; Serves Everyone"
Daily Bread Ministries - Greer Soup Kitchen,(864) 540-4681,mlbennett1116@gmail.com,greersoupkitchen.com/greer-step-shelter-mission,"521 E. Poinsett St., Greer, SC 29651",,"Man; Woman; Couple; Veteran; Senior; Domestic Violence; No Photo ID; Family (2 Adults + Children); Family (Father + Children); Family (Mother + Children); Family (Multigenerational Households); Re-entry/Previously Incarcerated; Youth 18-24 Without Parent/Guardian; Transgender; Serves Everyone"
Greer Relief,(864) 334-3493,yvonne@greerrelief.org,greerrelief.org,"202 Victoria St., Greer, SC 29651",,"Man; Woman; Couple; Veteran; Senior; Domestic Violence; Family (2 Adults + Children); Family (Father + Children); Family (Mother + Children); Family (Multigenerational Households); Re-entry/Previously Incarcerated; Transgender"
Greenville Tech Upstate Returning Citizens Program,(864) 230-4669,sammie.stroud@gvltec.edu,,"40 John McCarroll Way, Greenville, SC 29607",,Re-entry/Previously Incarcerated
Greenville Rescue Mission - Miracle Hill Ministries,(864) 242-6933,receptionist@miraclehill.org,miraclehill.org/shelters/greenville-rescue-mission/,,,"Man; Youth 18-24 Without Parent/Guardian; Senior"
Greenville Housing Authority,(864) 467-4250,,,,"Mon-Thu 9am-4pm","Man; Woman; Couple; Veteran; Senior; Domestic Violence; No Photo ID; AIDS/HIV; Non-Binary; Substance Use; LGBTQ+; Family (2 Adults + Children); Family (Father + Children); Family (Mother + Children); Family (Multigenerational Households); Re-entry/Previously Incarcerated; Youth 18-24 Without Parent/Guardian; Transgender"
Greenville Free Clinic,(864) 232-1470,eligibility@greenvillefreeclinic.org,greenvillefreeclinic.org,"600 Arlington Ave, Greenville, SC 29601",,"Man; Woman; Couple; Veteran; Senior; Domestic Violence; Transgender"
Greenville County School - Homeless Department,(864) 355-7366,ihamilto@greenville.k12.sc.us,,"100 Blassingame Rd., Greenville, SC 29605",,"Youth 18-24 Without Parent/Guardian; Family (2 Adults + Children); Family (Father + Children); Family (Mother + Children); Family (Multigenerational Households)"
Greenville County Library System,(864) 242-5000; Text: (864) 510-0944,asklibrarian@greenvillelibrary.org,greenvillelibrary.org,"25 Heritage Green Place, Greenville, SC 29601",,"Man; Woman; Couple; Veteran; Senior; Domestic Violence; No Photo ID; AIDS/HIV; Non-Binary; Substance Use; LGBTQ+; Family (2 Adults + Children); Family (Mother + Children); Family (Father + Children); Family (Multigenerational Households); Re-entry/Previously Incarcerated; Spanish Speaking; Youth 18-24 Without Parent/Guardian; Transgender; Serves Everyone"
Greenlink,(864) 467-5001,info@ridegreenlink.com,greenvillesc.gov/620/Rider-Information,"100 W McBee Ave, Greenville, SC 29601",,"Man; Woman; Couple; Veteran; Senior; Domestic Violence; No Photo ID; AIDS/HIV; Non-Binary; Substance Use; LGBTQ+; Spanish Speaking; Family (2 Adults + Children); Family (Father + Children); Family (Mother + Children); Family (Multigenerational Households); Re-entry/Previously Incarcerated; Youth 18-24 Without Parent/Guardian; Transgender; Serves Everyone"
Greater Greenville Mental Health Center,(864) 241-1040; After hours SC Mobile Crisis: 1-833-364-2274,,,"124 Mallard Street, Greenville, SC 29609",,"Man; Woman; Transgender"
Gateway,(864) 242-9193,joinus@gateway-sc.org,gateway-sc.org,,,"Man; Woman; Transgender"
Foothills Family Resources of Slater-Marietta,(864) 836-1100,,,,"Mon-Thu 8:15am-4:15pm; closed daily 12pm-1pm","Man; Woman; Couple; Veteran; Senior; Domestic Violence; No Photo ID; AIDS/HIV; Non-Binary; Substance Use; LGBTQ+; Family (2 Adults + Children); Family (Father + Children); Family (Mother + Children); Family (Multigenerational Households); Re-entry/Previously Incarcerated; Youth 18-24 Without Parent/Guardian; Transgender; Serves Everyone"
First Impression of South Carolina,(864) 520-1500,info@1isc.org,1isc.org,"15 Grand Ave., Greenville, SC 29607",,"Man; Woman; Couple; Veteran; Senior; Domestic Violence; No Photo ID; AIDS/HIV; Non-Binary; Substance Use; LGBTQ+; Family (2 Adults + Children); Family (Father + Children); Family (Mother + Children); Family (Multigenerational Households); Re-entry/Previously Incarcerated; Youth 18-24 Without Parent/Guardian; Transgender; Serves Everyone"
FAVOR Upstate,(864) 385-7750,,,,9am-8pm,"Man; Couple; Veteran; Senior; Woman; AIDS/HIV; Family (2 Adults + Children); Family (Father + Children); Family (Mother + Children); Family (Multigenerational Households); Non-Binary; Re-entry/Previously Incarcerated; Spanish Speaking; Substance Use; Youth 18-24 Without Parent/Guardian; Domestic Violence; LGBTQ+; Transgender; Serves Everyone"
Center for Community Services,(864) 967-2022,,centercs.com,,,"Man; Couple; Veteran; Senior; Family (Mother + Children); Family (Father + Children); Woman; Family (Multigenerational Households); Youth 18-24 Without Parent/Guardian"
Alston Wilkes Society,803-799-2490,info@aws1962.org,alstonwilkessociety.org,,,"Youth 18-24 Without Parent/Guardian; Man; Woman; Family (Father + Children); Family (Mother + Children); Family (2 Adults + Children); Family (Multigenerational Households); Couple; Veteran; Senior; AIDS/HIV; Re-entry/Previously Incarcerated; Domestic Violence; Transgender"
AID Upstate,"Anderson: (864) 226-9144; Greenville: (864) 250-0607",jose.giocamea@aidupstate.org,aidupstate.org,,,"Man; Woman; Youth 18-24 Without Parent/Guardian; Family (Mother + Children); Family (Father + Children); Family (2 Adults + Children); Family (Multigenerational Households); Couple; Veteran; Senior; Serves Everyone"
Catholic Charities Upstate,(864) 331-2629,maria.clark@charlestondiocese.org,charitiessc.org,"2300 Old Buncombe Rd, Greenville, SC 29600",,"Man; Woman; Couple; Veteran; Senior; Domestic Violence; No Photo ID; AIDS/HIV; Non-Binary; Substance Use; LGBTQ+; Family (2 Adults + Children); Family (Father + Children); Family (Mother + Children); Family (Multigenerational Households); Re-entry/Previously Incarcerated; Youth 18-24 Without Parent/Guardian; Transgender; Serves Everyone"
